Conversion ID,Activity DateTime,Activity,Conversion Referrer,ORD Value,Interaction DateTime,Interaction Number,Placement,Feed 1 - Reporting label,Feed 1 - Unique ID,Interaction Type,Advertiser,Advertiser ID,Campaign,Campaign ID,Site CM360,URL,GCLID,encryptedUserId,DCLID,matchID,Total Conversions,Total Revenue
1000000000000000001,4/8/2026 10:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/7/2026 22:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900001,Google Search,https://atw.5555.co.il/login,Cj0KCQ000001,u0000010000000001,,,1,90
1000000000000000002,4/15/2026 11:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/14/2026 23:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900002,Google Search,https://atw.5555.co.il/login,Cj0KCQ000002,u0000020000000002,,,1,90
1000000000000000003,4/22/2026 12:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/22/2026 0:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900003,Google Search,https://atw.5555.co.il/login,Cj0KCQ000003,u0000030000000003,,,1,90
1000000000000000004,4/29/2026 13:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/29/2026 1:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900004,Google Search,https://atw.5555.co.il/login,Cj0KCQ000004,u0000040000000004,,,1,90
1000000000000000005,4/6/2026 14:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/6/2026 2:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900005,Google Search,https://atw.5555.co.il/login,Cj0KCQ000005,u0000050000000005,,,1,90
1000000000000000006,4/13/2026 15:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/13/2026 3:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900006,Google Search,https://atw.5555.co.il/login,Cj0KCQ000006,u0000060000000006,,,1,90
1000000000000000007,4/20/2026 16:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/20/2026 4:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900007,Google Search,https://atw.5555.co.il/login,Cj0KCQ000007,u0000070000000007,,,1,90
1000000000000000008,4/27/2026 17:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/27/2026 5:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900008,Google Search,https://atw.5555.co.il/login,Cj0KCQ000008,u0000080000000008,,,1,90
1000000000000000009,4/4/2026 18:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/4/2026 6:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900009,Google Search,https://atw.5555.co.il/login,Cj0KCQ000009,u0000090000000009,,,1,90
1000000000000000010,4/11/2026 19:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/11/2026 7:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900010,Google Search,https://atw.5555.co.il/login,Cj0KCQ000010,u0000100000000010,,,1,90
1000000000000000011,4/18/2026 20:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/18/2026 8:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900011,Google Search,https://atw.5555.co.il/login,Cj0KCQ000011,u0000110000000011,,,1,90
1000000000000000012,4/25/2026 9:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/24/2026 21:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900012,Google Search,https://atw.5555.co.il/login,Cj0KCQ000012,u0000120000000012,,,1,90
1000000000000000013,4/2/2026 10:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/1/2026 22:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900013,Google Search,https://atw.5555.co.il/login,Cj0KCQ000013,u0000130000000013,,,1,90
1000000000000000014,4/9/2026 11:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/8/2026 23:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900014,Google Search,https://atw.5555.co.il/login,Cj0KCQ000014,u0000140000000014,,,1,90
1000000000000000015,4/16/2026 12:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/16/2026 0:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900015,Google Search,https://atw.5555.co.il/login,Cj0KCQ000015,u0000150000000015,,,1,90
1000000000000000016,4/23/2026 13:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/23/2026 1:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900016,Google Search,https://atw.5555.co.il/login,Cj0KCQ000016,u0000160000000016,,,1,90
1000000000000000017,4/30/2026 14:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/30/2026 2:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900017,Google Search,https://atw.5555.co.il/login,Cj0KCQ000017,u0000170000000017,,,1,90
1000000000000000018,4/7/2026 15:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/7/2026 3:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900018,Google Search,https://atw.5555.co.il/login,Cj0KCQ000018,u0000180000000018,,,1,90
1000000000000000019,4/14/2026 16:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/14/2026 4:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900019,Google Search,https://atw.5555.co.il/login,Cj0KCQ000019,u0000190000000019,,,1,90
1000000000000000020,4/21/2026 17:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/21/2026 5:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900020,Google Search,https://atw.5555.co.il/login,Cj0KCQ000020,u0000200000000020,,,1,90
1000000000000000021,4/28/2026 18:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/28/2026 6:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900021,Google Search,https://atw.5555.co.il/login,Cj0KCQ000021,u0000210000000021,,,1,90
1000000000000000022,4/5/2026 19:00,5555.co.il - Lead,https://atw.5555.co.il/progress,1,4/5/2026 7:00,1,AWO-BrandExact_Leads_BOF,,,Click,Mimun Yashir,14772170,KLG-Brand_Search_Exact,34900022,Google Search,https://atw.5555.co.il/login,Cj0KCQ000022,u0000220000000022,,,1,90
